InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,YearMonth
539559,20725,LUNCH BAG RED RETROSPOT,24,2023-12-06,1.4,10731,Netherlands,33.6,2023,12,6,Wednesday,2023-12
539979,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2023-03-29,2.69,11204,United Kingdom,40.35,2023,3,29,Wednesday,2023-03
537675,23166,MEDIUM CERAMIC TOP STORAGE JAR,5,2023-05-27,1.48,10256,United Kingdom,7.4,2023,5,27,Saturday,2023-05
539788,20719,WOODLAND CHARLOTTE BAG,18,2022-03-28,0.7,10806,United Kingdom,12.6,2022,3,28,Monday,2022-03
538013,23228,SPACESHIP LAMP,40,2023-01-12,2.66,10084,Switzerland,106.4,2023,1,12,Thursday,2023-01
540779,22144,FINISH LINE ENAMEL MUG,20,2023-10-04,1.0,10274,United Kingdom,20.0,2023,10,4,Wednesday,2023-10
537666,22144,FINISH LINE ENAMEL MUG,3,2023-12-16,1.26,10365,United Kingdom,3.78,2023,12,16,Saturday,2023-12
540357,21930,JUMBO STORAGE BAG SUKI,16,2023-11-02,2.4,11065,Sweden,38.4,2023,11,2,Thursday,2023-11
539761,22111,SCOTTIE DOG HOT WATER BOTTLE,35,2022-03-04,4.79,10378,United Kingdom,167.65,2022,3,4,Friday,2022-03
537178,20727,LUNCH BAG BLACK SKULL,19,2022-10-05,1.46,11052,United Kingdom,27.74,2022,10,5,Wednesday,2022-10
540723,23228,SPACESHIP LAMP,29,2023-10-11,2.96,11043,United Kingdom,85.84,2023,10,11,Wednesday,2023-10
540331,22197,SMALL POPCORN HOLDER,1,2023-05-27,0.65,11103,USA,0.65,2023,5,27,Saturday,2023-05
540083,23166,MEDIUM CERAMIC TOP STORAGE JAR,48,2023-11-14,1.3,10135,United Kingdom,62.4,2023,11,14,Tuesday,2023-11
536808,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,44,2023-10-31,1.91,10795,Denmark,84.04,2023,10,31,Tuesday,2023-10
539102,22616,PACK OF 12 LONDON TISSUES,30,2022-11-09,0.97,11096,United Kingdom,29.1,2022,11,9,Wednesday,2022-11
539564,22961,JAM MAKING SET PRINTED,36,2022-06-09,1.66,11151,Denmark,59.76,2022,6,9,Thursday,2022-06
