InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539559,20725,LUNCH BAG RED RETROSPOT,24,2023-12-06 00:00:00,1.4,10731,Netherlands
539979,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2023-03-29 00:00:00,2.69,11204,United Kingdom
537675,23166,MEDIUM CERAMIC TOP STORAGE JAR,5,2023-05-27 00:00:00,1.48,10256,United Kingdom
539788,20719,WOODLAND CHARLOTTE BAG,18,2022-03-28 00:00:00,0.7,10806,United Kingdom
538013,23228,SPACESHIP LAMP,40,2023-01-12 00:00:00,2.66,10084,Switzerland
540779,22144,FINISH LINE ENAMEL MUG,20,2023-10-04 00:00:00,1.0,10274,United Kingdom
537666,22144,FINISH LINE ENAMEL MUG,3,2023-12-16 00:00:00,1.26,10365,United Kingdom
540357,21930,JUMBO STORAGE BAG SUKI,16,2023-11-02 00:00:00,2.4,11065,Sweden
539761,22111,SCOTTIE DOG HOT WATER BOTTLE,35,2022-03-04 00:00:00,4.79,10378,United Kingdom
537178,20727,LUNCH BAG BLACK SKULL,19,2022-10-05 00:00:00,1.46,11052,United Kingdom
538049,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-7,2022-11-23 00:00:00,3.73,11401,United Kingdom
540723,23228,SPACESHIP LAMP,29,2023-10-11 00:00:00,2.96,11043,United Kingdom
540331,22197,SMALL POPCORN HOLDER,1,2023-05-27 00:00:00,0.65,11103,USA
540083,23166,MEDIUM CERAMIC TOP STORAGE JAR,48,2023-11-14 00:00:00,1.3,10135,United Kingdom
536808,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,44,2023-10-31 00:00:00,1.91,10795,Denmark
539102,22616,PACK OF 12 LONDON TISSUES,30,2022-11-09 00:00:00,0.97,11096,United Kingdom
539564,22961,JAM MAKING SET PRINTED,36,2022-06-09 00:00:00,1.66,11151,Denmark
537675,22457,NATURAL SLATE HEART CHALKBOARD,17,2022-12-06 00:00:00,2.17,10076,Portugal
537769,20725,LUNCH BAG RED RETROSPOT,39,2023-08-08 00:00:00,1.55,,Finland
538503,20727,LUNCH BAG BLACK SKULL,2,2022-03-19 00:00:00,1.73,10415,United Kingdom
539430,23203,LUNCH BAG APPLE DESIGN,26,2023-06-11 00:00:00,1.43,10121,Germany
539925,84997C,RECYCLED ACRYLIC BEAD NECKLACE,7,2022-08-09 00:00:00,-0.01,10033,United Kingdom
539966,22457,NATURAL SLATE HEART CHALKBOARD,40,2023-11-02 00:00:00,1.87,10075,Singapore
537990,21933,JUMBO BAG SCANDINAVIAN BLUE DAISY,-14,2023-11-08 00:00:00,1.72,10715,United Kingdom
536790,47566,PARTY BUNTING,28,2023-09-01 00:00:00,5.6,11134,France
538684,22423,REGENCY CAKESTAND 3 TIER,7,2022-08-04 00:00:00,14.44,11164,Denmark
539255,21217,RED RETROSPOT MINI CASES,6,2023-03-18 00:00:00,0.69,,Switzerland
538172,22423,REGENCY CAKESTAND 3 TIER,45,2022-09-10 00:00:00,12.69,10246,Portugal
538001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2023-08-03 00:00:00,2.26,10818,United Kingdom
539823,22457,NATURAL SLATE HEART CHALKBOARD,3,2022-11-04 00:00:00,2.27,10364,United Kingdom
539718,23228,,25,2023-12-06 00:00:00,2.2,11177,Spain
539912,23203,LUNCH BAG APPLE DESIGN,37,2022-01-01 00:00:00,1.74,10936,Australia
538897,21212,PACK OF 72 RETROSPOT CAKE CASES,43,2022-09-30 00:00:00,0.62,11179,United Kingdom
540670,21217,RED RETROSPOT MINI CASES,17,2023-12-04 00:00:00,0.69,11003,Sweden
540615,22469,HEART OF WICKER SMALL,44,2022-05-14 00:00:00,1.18,11474,United Kingdom
538814,21929,JUMBO BAG PINK POLKADOT,34,2023-05-13 00:00:00,1.78,10995,Germany
537735,23355,HOT WATER BOTTLE KEEP CALM,27,2023-12-03 00:00:00,4.32,10849,Germany
539974,22423,REGENCY CAKESTAND 3 TIER,49,2023-10-27 00:00:00,14.06,10490,United Kingdom
537505,23355,HOT WATER BOTTLE KEEP CALM,11,2022-10-22 00:00:00,-0.01,10473,United Kingdom
536857,22382,LUNCH BOX WITH CUTLERY RETROSPOT,15,2023-03-30 00:00:00,2.43,10459,United Kingdom
538314,84406B,CREAM CUPID HEARTS COAT HANGER,3,2022-01-30 00:00:00,3.04,10003,Sweden
538311,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-11-19 00:00:00,5.16,10101,France
537053,20725,LUNCH BAG RED RETROSPOT,2,2022-06-13 00:00:00,1.65,10985,Japan
540073,22144,FINISH LINE ENAMEL MUG,42,2022-12-11 00:00:00,1.15,10854,Australia
537970,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2023-11-29 00:00:00,2.61,10020,Spain
536841,22616,PACK OF 12 LONDON TISSUES,20,2022-10-08 00:00:00,0.72,10290,France
539774,21930,JUMBO STORAGE BAG SUKI,15,2023-12-23 00:00:00,1.73,10787,United Kingdom
536950,85099B,JUMBO BAG RED RETROSPOT,19,2022-10-13 00:00:00,1.34,10999,Netherlands
540164,22144,FINISH LINE ENAMEL MUG,8,2022-04-30 00:00:00,1.19,10005,Spain
537795,47566,PARTY BUNTING,26,2022-11-11 00:00:00,4.62,10866,Portugal
537818,23355,HOT WATER BOTTLE KEEP CALM,21,2023-04-16 00:00:00,5.11,10922,Spain
537126,22616,PACK OF 12 LONDON TISSUES,39,2023-06-22 00:00:00,0.88,10895,France
538642,22457,NATURAL SLATE HEART CHALKBOARD,23,2023-10-24 00:00:00,1.89,10356,Canada
540194,22457,NATURAL SLATE HEART CHALKBOARD,29,2022-08-31 00:00:00,1.75,11180,United Kingdom
540489,22423,REGENCY CAKESTAND 3 TIER,12,2022-03-01 00:00:00,12.44,10201,Belgium
538101,22629,SPACEBOY LUNCH BOX,28,2022-11-24 00:00:00,1.84,10576,Switzerland
539283,47566,PARTY BUNTING,3,2022-10-30 00:00:00,4.86,11129,Canada
536444,22961,JAM MAKING SET PRINTED,4,2022-08-14 00:00:00,1.29,10916,Netherlands
537821,22086,PAPER CHAIN KIT CHRISTMAS DECORATIONS,34,2022-10-04 00:00:00,2.43,11019,Netherlands
539895,85099B,JUMBO BAG RED RETROSPOT,27,2023-02-02 00:00:00,1.64,11453,USA
539684,21217,RED RETROSPOT MINI CASES,9,2022-12-20 00:00:00,0.84,10183,Spain
539400,23355,HOT WATER BOTTLE KEEP CALM,38,2023-05-26 00:00:00,4.41,10545,Spain
537597,21212,PACK OF 72 RETROSPOT CAKE CASES,16,2023-03-21 00:00:00,0.54,10054,United Kingdom
536891,20727,LUNCH BAG BLACK SKULL,18,2023-02-07 00:00:00,1.83,10831,Germany
539533,22382,LUNCH BOX WITH CUTLERY RETROSPOT,29,2023-02-12 00:00:00,2.12,11228,Germany
538312,22197,SMALL POPCORN HOLDER,37,2023-11-05 00:00:00,0.7,11178,Norway
538558,22616,PACK OF 12 LONDON TISSUES,12,2022-06-19 00:00:00,0.74,10956,Norway
540093,22616,PACK OF 12 LONDON TISSUES,10,2022-11-06 00:00:00,0.99,10097,Italy
540363,22111,SCOTTIE DOG HOT WATER BOTTLE,13,2023-06-19 00:00:00,4.25,10352,Italy
538059,23203,LUNCH BAG APPLE DESIGN,45,2022-11-24 00:00:00,1.87,10073,United Kingdom
537269,85123A,WHITE HANGING HEART T-LIGHT HOLDER,26,2023-10-17 00:00:00,2.59,,United Kingdom
540683,23209,LUNCH BAG GINGHAM DESIGN,46,2022-10-05 00:00:00,1.72,10066,Sweden
540290,23228,SPACESHIP LAMP,20,2022-05-26 00:00:00,2.66,10957,Finland
537015,21930,JUMBO STORAGE BAG SUKI,49,2023-12-19 00:00:00,2.37,10747,Spain
537432,85099B,JUMBO BAG RED RETROSPOT,5,2023-03-21 00:00:00,1.98,10697,United Kingdom
536630,22175,GIN + TONIC DIET METAL SIGN,33,2023-12-15 00:00:00,1.93,10982,Germany
